ec,support_count,query_count,fallback_episodes
1.1.99.36,26,130,26
1.1.99.37,22,110,22
1.1.99.40,21,105,21
1.1.99.6,30,150,30
1.10.-.-,43,215,43
1.10.3.-,10,50,0
1.10.3.1,12,60,0
1.10.3.11,10,50,0
1.10.3.15,35,175,35
1.10.3.16,23,115,23
1.10.3.17,33,165,33
1.10.3.2,5,25,0
1.10.3.3,19,95,19
1.10.3.4,22,110,22
1.10.5.1,30,150,30
1.11.-.-,14,70,0
1.11.1.1,35,175,35
1.11.1.10,25,125,25
1.11.1.11,10,50,0
1.11.1.12,4,20,0
1.11.1.13,16,80,16
1.11.1.14,14,70,0
1.11.1.17,38,190,38
1.11.1.18,26,130,26
1.11.1.19,14,70,0
1.11.1.2,25,125,25
1.11.1.20,12,60,0
1.11.1.21,4,20,0
1.11.1.22,22,110,22
1.11.1.23,40,200,40
1.11.1.24,8,40,0
1.11.1.25,18,90,18
1.11.1.26,10,50,0
1.11.1.27,11,55,0
1.11.1.28,6,30,0
1.11.1.29,18,90,18
1.11.1.5,12,60,0
1.11.1.6,7,35,0
1.11.1.7,2,10,0
1.11.1.8,17,85,17
1.11.1.9,7,35,0
1.11.2.-,0,0,0
1.11.2.1,43,215,43
1.11.2.2,21,105,21
1.11.2.3,10,50,0
1.11.2.4,28,140,28
1.12.1.2,7,35,0
1.12.1.3,21,105,0
1.12.1.5,25,125,25
1.12.5.1,32,160,32
1.12.7.2,15,75,15
1.12.98.1,11,55,0
1.12.98.2,12,60,0
1.12.98.3,10,50,0
1.12.98.4,25,125,25
1.12.99.-,16,80,0
1.12.99.6,5,25,0
1.13.-.-,11,55,11
1.13.1.-,36,180,36
1.13.11.-,8,40,0
1.13.11.1,12,60,0
1.13.11.11,5,25,0
1.13.11.12,5,25,0
1.13.11.15,36,180,36
1.13.11.16,6,30,0
1.13.11.18,27,135,27
1.13.11.19,42,210,42
1.13.11.2,9,45,0
1.13.11.20,13,65,0
1.13.11.24,15,75,0
1.13.11.25,25,125,25
1.13.11.27,3,15,0
1.13.11.29,24,120,24
1.13.11.3,13,65,0
1.13.11.31,6,30,0
1.13.11.34,20,100,20
1.13.11.37,31,155,31
1.13.11.38,38,190,38
1.13.11.39,15,75,0
1.13.11.4,20,100,20
1.13.11.40,0,0,0
1.13.11.43,29,145,29
1.13.11.45,21,105,21
1.13.11.46,30,150,30
1.13.11.47,42,210,42
1.13.11.48,32,160,32
1.13.11.49,32,160,32
1.13.11.5,3,15,0
1.13.11.51,11,55,11
1.13.11.53,7,35,0
1.13.11.54,7,35,0
1.13.11.55,36,180,36
1.13.11.56,12,60,12
1.13.11.58,13,65,0
1.13.11.59,19,95,19
1.13.11.60,0,0,0
1.13.11.62,0,0,0
1.13.11.64,34,170,34
1.13.11.65,39,195,39
1.13.11.71,34,170,34
1.13.11.73,39,195,39
1.13.11.74,37,185,37
1.13.11.78,45,225,45
1.13.11.79,11,55,11
1.13.11.8,20,100,20
1.13.11.80,54,270,54
1.13.11.86,45,225,45
1.13.11.89,36,180,36
1.13.11.90,39,195,39
1.13.11.92,22,110,22
1.13.11.93,17,85,0
1.13.12.-,8,40,0
1.13.12.16,28,140,28
1.13.12.18,0,0,0
1.13.12.19,10,50,10
1.13.12.20,33,165,33
1.13.12.21,34,170,34
1.13.12.22,36,180,36
1.13.12.3,10,50,0
1.13.12.4,29,145,29
1.13.12.6,47,235,47
1.13.12.7,17,85,17
1.14.-.-,7,35,0
1.14.11.-,3,15,0
1.14.11.1,25,125,25
1.14.11.11,47,235,47
1.14.11.13,28,140,28
1.14.11.15,9,45,9
1.14.11.16,33,165,33
1.14.11.17,35,175,35
1.14.11.18,19,95,0
1.14.11.2,15,75,0
1.14.11.20,41,205,41
1.14.11.21,29,145,29
1.14.11.24,47,235,47
1.14.11.25,35,175,35
1.14.11.26,17,85,17
1.14.11.27,6,30,0
1.14.11.28,25,125,25
1.14.11.29,18,90,18
1.14.11.30,39,195,39
1.14.11.31,30,150,30
1.14.11.33,16,80,0
1.14.11.35,20,100,20
1.14.11.36,22,110,22
1.14.11.4,15,75,0
1.14.11.41,36,180,36
1.14.11.42,16,80,16
1.14.11.43,40,200,40
1.14.11.44,31,155,31
1.14.11.45,44,220,44
1.14.11.46,41,205,41
1.14.11.47,41,205,41
1.14.11.48,22,110,22
1.14.11.49,25,125,25
1.14.11.51,14,70,14
1.14.11.52,38,190,38
1.14.11.53,10,50,0
1.14.11.54,31,155,31
1.14.11.55,25,125,25
1.14.11.57,35,175,35
1.14.11.58,44,220,44
1.14.11.61,11,55,0
1.14.11.62,10,50,10
1.14.11.63,29,145,29
1.14.11.64,12,60,0
1.14.11.65,46,230,46
1.14.11.66,21,105,21
1.14.11.67,25,125,25
1.14.11.68,42,210,42
1.14.11.69,0,0,0
1.14.11.71,41,205,41
1.14.11.72,29,145,29
1.14.11.73,23,115,23
1.14.11.75,45,225,45
1.14.11.76,43,215,43
1.14.11.77,12,60,12
1.14.11.78,9,45,9
1.14.11.8,24,120,24
1.14.11.81,42,210,42
1.14.11.82,51,255,51
1.14.11.n4,46,230,46
1.14.12.10,23,115,23
1.14.12.11,19,95,19
1.14.12.12,20,100,20
1.14.12.15,6,30,0
1.14.12.17,5,25,0
1.14.12.18,13,65,0
1.14.12.19,7,35,0
1.14.12.22,47,235,47
1.14.12.24,45,225,45
1.14.12.3,19,95,0
1.14.12.7,14,70,14
1.14.13.1,25,125,25
1.14.13.105,36,180,36
1.14.13.111,43,215,43
1.14.13.113,16,80,16
1.14.13.114,23,115,23
1.14.13.127,6,30,0
1.14.13.128,41,205,41
1.14.13.130,22,110,22
1.14.13.131,39,195,39
1.14.13.149,45,225,45
1.14.13.160,42,210,42
1.14.13.163,32,160,32
1.14.13.167,31,155,31
1.14.13.170,23,115,23
1.14.13.172,30,150,30
1.14.13.178,50,250,50
1.14.13.179,40,200,40
1.14.13.180,17,85,17
1.14.13.181,34,170,34
1.14.13.182,16,80,16
1.14.13.187,38,190,38
1.14.13.189,46,230,46
1.14.13.195,36,180,36
1.14.13.196,12,60,0
1.14.13.2,21,105,21
1.14.13.20,42,210,42
1.14.13.200,43,215,43
1.14.13.210,46,230,46
